[2022-01-20 14:46:03] cos_res50_sgd_0.005_exp_started.
[2022-01-20 19:18:10] Epoch#9_Iter#409600_loss: 15.085
[2022-01-20 19:18:57] Epoch#9_Iter#422400_loss: 14.224
[2022-01-20 19:19:45] Epoch#9_Iter#435200_loss: 16.750
[2022-01-20 19:20:32] Epoch#9_Iter#448000_loss: 16.117
[2022-01-20 19:21:20] Epoch#9_Iter#460800_loss: 14.424
[2022-01-20 19:22:07] Epoch#9_Iter#473600_loss: 15.251
[2022-01-20 19:22:55] Epoch#9_Iter#486400_loss: 16.252
[2022-01-20 19:23:40] Epoch#9 end, Accuracy: 95.883, Time Consumed: 1820.311
[2022-01-20 19:24:28] Epoch#10_Iter#12800_loss: 14.904
[2022-01-20 19:25:16] Epoch#10_Iter#25600_loss: 13.916
[2022-01-20 19:26:03] Epoch#10_Iter#38400_loss: 15.079
[2022-01-20 19:26:51] Epoch#10_Iter#51200_loss: 12.463
[2022-01-20 19:27:38] Epoch#10_Iter#64000_loss: 12.547
[2022-01-20 19:28:26] Epoch#10_Iter#76800_loss: 13.218
[2022-01-20 19:29:13] Epoch#10_Iter#89600_loss: 13.686
[2022-01-20 19:30:01] Epoch#10_Iter#102400_loss: 11.314
[2022-01-20 19:30:48] Epoch#10_Iter#115200_loss: 13.860
[2022-01-20 19:31:36] Epoch#10_Iter#128000_loss: 14.160
[2022-01-20 19:32:23] Epoch#10_Iter#140800_loss: 12.527
[2022-01-20 19:33:11] Epoch#10_Iter#153600_loss: 12.527
[2022-01-20 19:33:58] Epoch#10_Iter#166400_loss: 14.035
[2022-01-20 19:34:46] Epoch#10_Iter#179200_loss: 12.225
[2022-01-20 19:35:33] Epoch#10_Iter#192000_loss: 14.275
[2022-01-20 19:36:21] Epoch#10_Iter#204800_loss: 14.471
[2022-01-20 19:37:08] Epoch#10_Iter#217600_loss: 14.031
[2022-01-20 19:37:56] Epoch#10_Iter#230400_loss: 15.500
[2022-01-20 19:38:43] Epoch#10_Iter#243200_loss: 14.221
[2022-01-20 19:39:31] Epoch#10_Iter#256000_loss: 15.058
[2022-01-20 19:40:18] Epoch#10_Iter#268800_loss: 15.638
[2022-01-20 19:41:06] Epoch#10_Iter#281600_loss: 12.554
[2022-01-20 19:41:53] Epoch#10_Iter#294400_loss: 12.609
[2022-01-20 19:42:41] Epoch#10_Iter#307200_loss: 15.735
[2022-01-20 19:43:28] Epoch#10_Iter#320000_loss: 14.354
[2022-01-20 19:44:16] Epoch#10_Iter#332800_loss: 16.461
[2022-01-20 19:45:03] Epoch#10_Iter#345600_loss: 13.929
[2022-01-20 19:45:51] Epoch#10_Iter#358400_loss: 14.948
[2022-01-20 19:46:38] Epoch#10_Iter#371200_loss: 13.840
